P0131,O2 sensor short to Ground
P0132,O2 sensor short to Battery
P0130,O2 sensor signal error
P0123,TPS Open circuit / Short to Battery
P0122,TPS short to Ground
P1238,Engine Temperature Sensor Open circuit / Short to Battery
P1239,Engine Temperature Sensor short to Ground
P2300,Ignition coil short to Ground
P0030,O2 heater Open circuit
P0031,O2 heater short to Ground
P0032,O2 heater short to Battery
P0511,IACV Open circuit
P0508,IACV short to Ground
P0509,IACV short to Battery
P0108,MAP sensor Open circuit / Short to Battery
P0107,MAP sensor short to Ground
P1336,Crank sensor error
0x026000,Energy Saving mode active
0xB7F600,Left indicator switch short circuit
0xB7F601,Right indicator switch short circuit
0xB7F602,Indicator Right Front : open circuit
0xB7F604,Indicator right front : Short circuit
0xB7F605,Indicator left front : open circuit
0xB7F607,Indicator left front : Short circuit
0xB7F608,Indicator Left Rear : short
0xB7F60A,Rear Left indicator open circuit
0xB7F60B,Rear Right Indicator Short Circuit
0xB7F60C,Rear right Indicator : Open circuit
0xB7F603,Battery Overvoltage
0xB7F606,Undervoltage battery
0xB7F609,Odometer manipulated
0xB7F60D,Tank sensor : faulty
0xB7F60E,Coding Data transmission errors
0xB7F60F,Coding Signature failure
0xB7F610,No coding
0xB7F611,NVM_E_READ_FAILED
0xB7F612,NVM_E_WRITE_ALL_FAILED
0xB7F613,NVM_E_WRITE_FAILED
0xB7F614,NVM_E_WRONG_CONFIG_ID
0xB7F615,NVM_E_CONTROL_FAILED
0xB7F616,NVM_E_ERASE_FAILED
0xB7F617,NVM_E_READ_ALL_FAILED
0xB7F618,5V Output Short Circuit
0xB7F628,Production mode active
0xE1045F,CAN Bus Off
0xE11424,CAN DME message terminal_status_Motorcycle_2010 : timeout
0xE11428,CAN DME message Motor data_1_Motorcycle_2010 : Timeout
0xE1142A,CAN DME message Motor data_2_Motorcycle_2010 : Timeout
0xE11440,CAN DME Message Route_Redundant_Motorcycle_2010 : Timeout
0xE11422,CAN ABSBCO Message Speed_Motorcycle_2010 : Timeout
0xE11442,CAN ABS-BCO Message Route_Relativ_Motorrad_2010 : Timeout
0xE11454,CAN ABSBCO Message Speed_Motorcycle_2010 : CRC error
0xE11455,CAN ABSBCO Message Speed_ Motorcycle_2010 : Alive Error
0x480680,ABS disabled via DIA
0x480703,Valve Failures
0x480704,Internal Fault
0x480705,Main Driver Leakage
0x480706,Hardware Fault
0x480707,MCU Failures
0x480708,CAN_RAM_Check
0x480709,Kl. 15 Hardware implausibly
0x48070A,EEPROM anomaly Suspicion
0x48070E,Valve Activation invalid
0x48071A,Pump blocked
0x48071B,Pump connection
0x48071C,Pump supply
0x48071D,Pump shorcircuit
0x480860,Voltage low
0x480863,Voltage high
0x480901,Sensor Periodic fault front
0x480902,Sensor Double Frequency Check front
0x480903,Sensor Phase-Length-Supervision Fault front
0x480904,Sensor El. Fault front
0x480905,Sensor Extrapolation Fault front
0x480906,Sensor Start Recognition Fault front
0x480911,Sensor Periodic Fault rear
0x480913,Sensor Phase-Length-Supervision Fault rear
0x480914,Sensor El. Fault rear
0x480915,Sensor Extrapolation Fault rear
0x480916,Sensor Start Recognition Fault rear
0x480B2F,Coding Error
0xD3445F,CAN Bus Off
0xD34460,CAN Transmit Timeout
0xD35424,CAN Timeout terminal status (130h)
0xD35426,CAN Timeout combination data (3FFh)
0xD3542A,CAN Timeout motor data_2 (10Ch)
0xD35444,CAN Alive counter error terminal status (130h)
0xD35446,CAN Checksum error_clamp status (130h)
0xD35452,CAN Checksum error input switch block left motorcycle(2A0h)
0xD35453,CAN Alive error input_block_link_motorbike (2A0h)
0xD35458,CAN Checksum error motor data_2 (10Ch)
0xD35459,CAN Alive error motor data_2 (10Ch)
0x480688,CAN1 Controller / transceiver hardware error
0x480695,CAN Output messages activated via DIA
0x022900,energy - Saving mode active
